Adversarial Examples,Time(s),Mem Queries asked before,Total sequences asked before,Mem Query?
"(37/1, 37/1)",0.026,35,35,Y
"(4/1,)",0.061,87,87,Y
"(9/1,)",0.063,89,89,Y
"(51/1, 52/1, 50/1, 48/1)",0.116,166,166,Y
"(38/1, 43/1, 46/1, 53/1)",0.13,187,187,Y
"(3/1,)",0.195,281,281,Y
"(4/1, 4/1)",0.256,370,370,Y
"(10/1,)",0.31,449,449,Y
"(57/1,)",0.36,522,522,Y
"(1/1,)",0.554,804,804,Y
"(2/1,)",0.662,959,959,Y
"(53/1, 53/1)",1.359,1966,1966,Y
"(18/1, 18/1)",1.529,2211,2211,Y
"(10/1, 10/1)",1.735,2509,2509,Y
"(9/1, 9/1)",1.8,2603,2603,Y
"(7/1, 7/1)",1.873,2689,2689,Y
"(8/1, 8/1)",1.93,2770,2770,Y
"(21/1, 21/1)",2.922,4150,4150,Y
"(36/1, 36/1)",3.008,4273,4273,Y
"(14/1, 14/1)",3.813,5424,5424,Y
"(12/1, 12/1)",3.861,5492,5492,Y
"(21/1, 21/1, 22/1, 21/1, 18/1)",4.416,6271,6271,Y
"(46/1, 44/1, 50/1, 51/1, 54/1)",4.861,6896,6896,Y
"(30/1, 30/1)",5.292,7508,7508,Y
"(19/1, 19/1, 19/1)",5.519,7832,7832,Y
"(4/1, 2/1)",5.593,7936,7936,Y
"(60/1, 60/1)",7.171,10174,10174,Y
"(2/1, 1/1)",7.588,10711,10711,Y
"(31/1, 31/1)",9.047,12774,12774,Y
"(39/1, 39/1)",9.362,13220,13220,Y
"(2/1, 2/1)",9.74,13754,13754,Y
"(59/1, 59/1)",9.987,14105,14105,Y
"(55/1, 55/1, 55/1, 57/1)",10.221,14436,14436,Y
"(47/1, 50/1, 54/1, 59/1)",11.463,16198,16198,Y
"(3/1, 1/1)",11.828,16712,16712,Y
"(17/1, 17/1)",12.02,16961,16961,Y
"(52/1, 52/1)",12.606,17800,17800,Y
"(22/1, 22/1)",13.23,18620,18620,Y
"(47/1, 47/1)",16.234,22734,22734,Y
"(27/1, 28/1, 30/1, 31/1)",16.514,23101,23101,Y
"(5/1, 5/1)",16.602,23198,23198,Y
"(49/1, 49/1)",19.197,26765,26765,Y
"(4/1, 1/1, 4/1, 8/1)",20.97,29154,29154,Y
"(25/1, 25/1)",21.606,30040,30040,Y
"(43/1, 43/1)",21.615,30053,30053,Y
"(54/1, 54/1)",22.623,31452,31452,Y
"(50/1, 50/1)",22.863,31783,31783,Y
"(41/1, 41/1, 43/1)",24.894,34579,34579,Y
"(42/1, 42/1)",26.418,36619,36619,Y
"(24/1, 24/1)",27.662,38320,38320,Y
"(15/1, 15/1)",27.723,38405,38405,Y
"(38/1, 48/1, 48/1, 46/1, 46/1, 48/1)",29.73,41026,41026,Y
"(55/1, 55/1)",30.989,42757,42757,Y
"(26/1, 26/1)",31.858,43961,43961,Y
"(33/1, 33/1)",31.925,44051,44051,Y
"(27/1, 27/1)",34.937,48227,48227,Y
"(48/1, 48/1)",35.123,48484,48484,Y
"(23/1, 23/1)",36.004,49699,49699,Y
"(19/1, 19/1)",36.077,49800,49800,Y
"(20/1, 20/1)",36.942,50963,50963,Y
"(44/1, 44/1)",38.731,53230,53230,Y
"(38/1, 38/1)",39.784,54516,54516,Y
"(6/1, 6/1)",42.234,57815,57815,Y
"(59/1, 53/1, 52/1, 51/1, 54/1)",43.218,59174,59174,Y
"(34/1, 34/1)",48.263,65716,65716,Y
"(32/1, 33/1, 33/1)",48.893,66520,66520,Y
"(46/1, 46/1)",48.996,66651,66651,Y
"(40/1, 40/1)",50.964,69190,69190,Y
"(4/1, 1/1)",51.007,69247,69247,Y
"(17/1, 19/1, 22/1, 25/1)",54.883,74210,74210,Y
"(56/1, 56/1)",55.184,74603,74603,Y
"(16/1, 16/1)",56.059,75747,75747,Y
"(35/1, 35/1)",59.6,80437,80437,Y
"(2/1, 3/1, 6/1, 5/1, 9/1)",60.436,81522,81522,Y
"(3/1, 3/1)",61.719,83195,83195,Y
"(22/1, 20/1, 18/1, 17/1)",67.967,91169,91169,Y
"(13/1, 13/1)",68.525,91890,91890,Y
"(11/1, 11/1, 12/1)",69.576,93246,93246,Y
"(39/1, 39/1, 41/1)",72.189,96415,96415,Y
"(41/1, 41/1)",73.346,97901,97901,Y
"(33/1, 37/1, 34/1, 30/1, 29/1, 26/1, 27/1)",76.231,101578,101578,Y
"(2/1, 1/1, 2/1)",77.714,103460,103460,Y
"(7/1, 6/1, 4/1)",81.322,108053,108053,Y
"(32/1, 32/1)",94.653,124795,124795,Y
"(58/1, 58/1)",95.7,126086,126086,Y
"(54/1, 55/1, 54/1, 50/1, 55/1, 57/1)",96.806,127496,127496,Y
"(57/1, 57/1)",101.283,133134,133134,Y
"(5/1, 1/1, 2/1)",101.659,133612,133612,Y
"(51/1, 51/1)",105.29,138163,138163,Y
"(44/1, 49/1, 55/1, 59/1)",109.8,143606,143606,Y
"(32/1, 31/1, 29/1, 28/1)",111.729,145745,145745,Y
"(45/1, 49/1, 48/1, 49/1)",111.771,145793,145793,Y
"(29/1, 29/1)",113.018,147176,147176,Y
"(32/1, 31/1, 31/1)",114.627,148979,148979,Y
"(17/1, 19/1, 19/1, 17/1)",115.76,150279,150279,Y
"(22/1, 28/1, 33/1, 39/1, 41/1)",118.066,152866,152866,Y
"(55/1, 60/1, 57/1, 55/1)",119.737,154784,154784,Y
"(46/1, 49/1, 53/1, 59/1)",127.816,162401,162401,Y
"(16/1, 15/1, 12/1, 8/1)",128.839,163270,163270,Y
"(56/1, 56/1, 56/1)",131.361,165778,165778,Y
"(25/1, 24/1, 23/1)",142.919,177036,177036,Y
"(56/1, 52/1, 51/1, 57/1, 59/1, 57/1, 51/1, 46/1)",145.075,179281,179281,Y
"(44/1, 55/1, 55/1, 53/1, 53/1)",147.3,181631,181631,Y
"(11/1, 10/1, 10/1)",148.277,182547,182547,Y
"(10/1, 8/1, 6/1)",162.739,195431,195431,Y
"(41/1, 46/1, 50/1, 54/1)",166.316,198868,198868,Y
"(55/1, 55/1, 54/1, 56/1)",169.704,201660,201660,Y
"(7/1, 4/1, 2/1)",183.663,213757,213757,Y
"(7/1, 6/1, 5/1)",198.368,227605,227605,Y
"(11/1, 11/1)",202.259,231299,231299,Y
"(25/1, 26/1, 29/1, 31/1)",213.363,241663,241663,Y
"(45/1, 45/1)",214.424,242599,242599,Y
"(59/1, 57/1, 60/1, 60/1)",215.191,243251,243251,Y
"(51/1, 51/1, 51/1)",235.657,263011,263011,Y
"(21/1, 15/1, 13/1, 13/1, 13/1)",242.156,268952,268952,Y
"(49/1, 49/1, 48/1, 50/1)",254.853,280925,280925,Y
"(23/1, 26/1, 26/1, 25/1)",255.974,282034,282034,Y
"(9/1, 8/1, 10/1)",270.318,296711,296711,Y
"(16/1, 17/1, 18/1, 21/1)",270.324,296718,296718,Y
"(42/1, 39/1, 41/1, 39/1)",278.322,304455,304455,Y
"(28/1, 28/1)",279.587,305455,305455,Y
"(29/1, 29/1, 28/1)",281.284,306837,306837,Y
"(8/1, 6/1, 4/1)",284.971,309763,309763,Y
"(7/1, 5/1, 5/1)",298.864,322067,322067,Y
"(36/1, 34/1, 33/1)",301.076,324295,324295,Y
"(4/1, 4/1, 2/1)",307.144,330182,330182,Y
"(11/1, 10/1, 11/1, 13/1)",308.363,331034,331034,Y
"(18/1, 19/1, 18/1, 15/1, 15/1)",317.878,339953,339953,Y
"(58/1, 59/1, 57/1, 54/1)",318.434,340526,340526,Y
"(38/1, 35/1, 32/1, 29/1)",334.699,356443,356443,Y
"(34/1, 34/1, 33/1)",337.684,359271,359271,Y
"(38/1, 36/1, 38/1, 38/1)",362.369,382770,382770,Y
"(4/1, 3/1, 6/1)",366.658,387207,387207,Y
"(27/1, 25/1, 23/1)",366.756,387310,387310,Y
"(11/1, 11/1, 10/1)",369.149,389808,389808,Y
"(24/1, 25/1, 24/1, 27/1, 29/1)",372.3,393128,393128,Y
"(31/1, 30/1, 28/1)",376.402,397048,397048,Y
"(13/1, 16/1, 23/1, 27/1)",380.414,401007,401007,Y
"(40/1, 41/1, 47/1, 51/1)",383.836,404337,404337,Y
"(51/1, 55/1, 55/1, 55/1)",388.581,409071,409071,Y
"(44/1, 45/1, 45/1, 48/1)",389.771,410289,410289,Y
"(45/1, 45/1, 45/1)",396.105,415846,415846,Y
"(31/1, 35/1, 36/1, 36/1)",396.219,415962,415962,Y
"(8/1, 9/1, 12/1, 16/1)",399.232,418235,418235,Y
